Index,Value
0,0
1,0.602555
2,0.99883
3,1.02266
4,0.64672
5,1.37791e-16
6,-0.675897
7,-1.11703
8,-1.14027
9,-0.718975
10,-3.05479e-16
11,0.747069
12,1.23114
13,1.25322
14,0.787999
15,5.00829e-16
16,-0.814319
17,-1.33836
18,-1.35874
19,-0.852093
20,-7.20204e-16
21,0.875991
22,1.43604
23,1.45421
24,0.909679
25,9.58706e-16
26,-0.930567
27,-1.52177
28,-1.5373
29,-0.959338
30,-1.21035e-15
31,0.976702
32,1.59346
33,1.60595
34,0.999849
35,1.46831e-15
36,-1.01326
37,-1.64933
38,-1.65847
39,-1.03021
40,-1.72513e-15
41,1.03934
42,1.688
43,1.69358
44,1.04968
45,1.97307e-15
46,-1.05431
47,-1.70853
48,-1.7104
49,-1.05778
50,-2.20436e-15
51,1.05778
52,1.7104
53,1.70853
54,1.05431
55,8.77143e-15
56,-1.04968
57,-1.69358
58,-1.688
59,-1.03934
60,-2.5877e-15
61,1.03021
62,1.65847
63,1.64933
64,1.01326
65,-3.35825e-15
66,-0.999849
67,-1.60595
68,-1.59346
69,-0.976702
70,-2.82416e-15
71,0.959338
72,1.5373
73,1.52177
74,0.930567
75,8.43855e-15
76,-0.909679
77,-1.45421
78,-1.43604
79,-0.875991
80,-2.88082e-15
81,0.852093
82,1.35874
83,1.33836
84,0.814319
85,-2.005e-15
86,-0.787999
87,-1.25322
88,-1.23114
89,-0.747069
90,-2.74931e-15
91,0.718975
92,1.14027
93,1.11703
94,0.675897
95,6.61535e-15
96,-0.64672
97,-1.02266
98,-0.99883
99,-0.602555
100,-2.44929e-15
101,0.573015
102,0.903283
103,0.879455
104,0.52885
105,-8.58191e-16
106,-0.499673
107,-0.785083
108,-0.761842
109,-0.456596
110,-7.37704e-15
111,0.428501
112,0.670971
113,0.648888
114,0.387572
115,4.05608e-15
116,-0.361251
117,-0.563755
118,-0.543375
119,-0.323478
120,-1.55708e-15
121,0.299579
122,0.466076
123,0.447901
124,0.265892
125,-2.1329e-16
126,-0.245004
127,-0.380338
128,-0.364815
129,-0.216232
130,1.3834e-15
131,0.198869
132,0.308654
133,0.296165
134,0.175721
135,1.96994e-15
136,-0.16231
137,-0.252787
138,-0.243641
139,-0.145357
140,-8.20064e-16
141,0.136228
142,0.214115
143,0.208535
144,0.125886
145,-2.59785e-19
146,-0.121265
147,-0.193588
148,-0.191713
149,-0.117789
150,-2.15587e-15
151,0.117789
152,0.191713
153,0.193588
154,0.121265
155,1.54221e-15
156,-0.125886
157,-0.208535
158,-0.214115
159,-0.136228
160,-9.37216e-16
161,0.145357
162,0.243641
163,0.252787
164,0.16231
165,1.40329e-16
166,-0.175721
167,-0.296165
168,-0.308654
169,-0.198869
170,1.03777e-15
171,0.216232
172,0.364815
173,0.380338
174,0.245004
175,3.40458e-15
176,-0.265892
177,-0.447901
178,-0.466076
179,-0.299579
180,-2.33562e-15
181,0.323478
182,0.543375
183,0.563755
184,0.361251
185,6.23103e-16
186,-0.387572
187,-0.648888
188,-0.670971
189,-0.428501
190,-8.85208e-15
191,0.456596
192,0.761842
193,0.785083
194,0.499673
195,7.2865e-15
196,-0.52885
197,-0.879455
198,-0.903283
199,-0.573015
200,-4.89859e-15
201,0.602555
202,0.99883
203,1.02266
204,0.64672
205,1.76414e-14
206,-0.675897
207,-1.11703
208,-1.14027
209,-0.718975
210,2.44692e-15
211,0.747069
212,1.23114
213,1.25322
214,0.787999
215,1.20216e-14
216,-0.814319
217,-1.33836
218,-1.35874
219,-0.852093
220,-2.88154e-14
221,0.875991
222,1.43604
223,1.45421
224,0.909679
225,3.06592e-15
226,-0.930567
227,-1.52177
228,-1.5373
229,-0.959338
230,-2.09835e-14
231,0.976702
232,1.59346
233,1.60595
234,0.999849
235,-8.39669e-15
236,-1.01326
237,-1.64933
238,-1.65847
239,-1.03021
240,-1.03508e-14
241,1.03934
242,1.688
243,1.69358
244,1.04968
245,2.9822e-14
246,-1.05431
247,-1.70853
248,-1.7104
249,-1.05778
250,1.76795e-15
251,1.05778
252,1.7104
253,1.70853
254,1.05431
255,1.75406e-14
256,-1.04968
257,-1.69358
258,-1.688
259,-1.03934
260,1.38098e-14
261,1.03021
262,1.65847
263,1.64933
264,1.01326
265,5.03208e-15
266,-0.999849
267,-1.60595
268,-1.59346
269,-0.976702
270,-2.25973e-14
271,0.959338
272,1.5373
273,1.52177
274,0.930567
275,-6.14153e-15
276,-0.909679
277,-1.45421
278,-1.43604
279,-0.875991
280,-1.00829e-14
281,0.852093
282,1.35874
283,1.33836
284,0.814319
285,2.40448e-14
286,-0.787999
287,-1.25322
288,-1.23114
289,-0.747069
290,3.088e-18
291,0.718975
292,1.14027
293,1.11703
294,0.675897
295,1.2127e-14
296,-0.64672
297,-1.02266
298,-0.99883
299,-0.602555
300,-2.15587e-14
301,0.573015
302,0.903283
303,0.879455
304,0.52885
305,3.42735e-15
306,-0.499673
307,-0.785083
308,-0.761842
309,-0.456596
310,-1.10646e-14
311,0.428501
312,0.670971
313,0.648888
314,0.387572
315,-1.87404e-15
316,-0.361251
317,-0.563755
318,-0.543375
319,-0.323478
320,-4.15221e-15
321,0.299579
322,0.466076
323,0.447901
324,0.265892
325,8.08622e-15
326,-0.245004
327,-0.380338
328,-0.364815
329,-0.216232
330,-3.44758e-16
331,0.198869
332,0.308654
333,0.296165
334,0.175721
335,3.37679e-15
336,-0.16231
337,-0.252787
338,-0.243641
339,-0.145357
340,1.40701e-15
341,0.136228
342,0.214115
343,0.208535
344,0.125886
345,1.02771e-15
346,-0.121265
347,-0.193588
348,-0.191713
349,-0.117789
350,-3.13559e-15
351,0.117789
352,0.191713
353,0.193588
354,0.121265
355,-4.11965e-16
356,-0.125886
357,-0.208535
358,-0.214115
359,-0.136228
360,-2.10874e-15
361,0.145357
362,0.243641
363,0.252787
364,0.16231
365,5.62846e-15
366,-0.175721
367,-0.296165
368,-0.308654
369,-0.198869
370,-6.90389e-16
371,0.216232
372,0.364815
373,0.380338
374,0.245004
375,5.53211e-15
376,-0.265892
377,-0.447901
378,-0.466076
379,-0.299579
380,-1.24593e-14
381,0.323478
382,0.543375
383,0.563755
384,0.361251
385,3.74256e-15
386,-0.387572
387,-0.648888
388,-0.670971
389,-0.428501
390,-1.25397e-14
391,0.456596
392,0.761842
393,0.785083
394,0.499673
395,-8.60357e-16
396,-0.52885
397,-0.879455
398,-0.903283
399,-0.573015
400,-9.79717e-15
401,0.602555
402,0.99883
403,1.02266
404,0.64672
405,2.3153e-14
406,-0.675897
407,-1.11703
408,-1.14027
409,-0.718975
410,-3.91106e-14
411,0.747069
412,1.23114
413,1.25322
414,0.787999
415,-2.0045e-14
416,-0.814319
417,-1.33836
418,-1.35874
419,-0.852093
420,5.76891e-15
421,0.875991
422,1.43604
423,1.45421
424,0.909679
425,1.07356e-14
426,-0.930567
427,-1.52177
428,-1.5373
429,-0.959338
