Index,Value
0,0
1,0.24869
2,0.481754
3,0.684547
4,0.844328
5,0.951057
6,0.998027
7,0.982287
8,0.904827
9,0.770513
10,0.587785
11,0.368125
12,0.125333
13,-0.125333
14,-0.368125
15,-0.587785
16,-0.770513
17,-0.904827
18,-0.982287
19,-0.998027
20,-0.951057
21,-0.844328
22,-0.684547
23,-0.481754
24,-0.24869
25,6.43249e-16
26,0.24869
27,0.481754
28,0.684547
29,0.844328
30,0.951057
31,0.998027
32,0.982287
33,0.904827
34,0.770513
35,0.587785
36,0.368125
37,0.125333
38,-0.125333
39,-0.368125
40,-0.587785
41,-0.770513
42,-0.904827
43,-0.982287
44,-0.998027
45,-0.951057
46,-0.844328
47,-0.684547
48,-0.481754
49,-0.24869
50,1.2865e-15
51,0.24869
52,0.481754
53,0.684547
54,0.844328
55,0.951057
56,0.998027
57,0.982287
58,0.904827
59,0.770513
60,0.587785
61,0.368125
62,0.125333
63,-0.125333
64,-0.368125
65,-0.587785
66,-0.770513
67,-0.904827
68,-0.982287
69,-0.998027
70,-0.951057
71,-0.844328
72,-0.684547
73,-0.481754
74,-0.24869
75,-7.34788e-16
76,0.24869
77,0.481754
78,0.684547
79,0.844328
80,0.951057
81,0.998027
82,0.982287
83,0.904827
84,0.770513
85,0.587785
86,0.368125
87,0.125333
88,-0.125333
89,-0.368125
90,-0.587785
91,-0.770513
92,-0.904827
93,-0.982287
94,-0.998027
95,-0.951057
96,-0.844328
97,-0.684547
98,-0.481754
99,-0.24869
100,2.573e-15
101,0.24869
102,0.481754
103,0.684547
104,0.844328
105,0.951057
106,0.998027
107,0.982287
108,0.904827
109,0.770513
110,0.587785
111,0.368125
112,0.125333
113,-0.125333
114,-0.368125
115,-0.587785
116,-0.770513
117,-0.904827
118,-0.982287
119,-0.998027
120,-0.951057
121,-0.844328
122,-0.684547
123,-0.481754
124,-0.24869
125,2.32807e-15
126,0.24869
127,0.481754
128,0.684547
129,0.844328
130,0.951057
131,0.998027
132,0.982287
133,0.904827
134,0.770513
135,0.587785
136,0.368125
137,0.125333
138,-0.125333
139,-0.368125
140,-0.587785
141,-0.770513
142,-0.904827
143,-0.982287
144,-0.998027
145,-0.951057
146,-0.844328
147,-0.684547
148,-0.481754
149,-0.24869
150,-1.46958e-15
151,0.24869
152,0.481754
153,0.684547
154,0.844328
155,0.951057
156,0.998027
157,0.982287
158,0.904827
159,0.770513
160,0.587785
161,0.368125
162,0.125333
163,-0.125333
164,-0.368125
165,-0.587785
166,-0.770513
167,-0.904827
168,-0.982287
169,-0.998027
170,-0.951057
171,-0.844328
172,-0.684547
173,-0.481754
174,-0.24869
175,5.39092e-15
176,0.24869
177,0.481754
178,0.684547
179,0.844328
180,0.951057
181,0.998027
182,0.982287
183,0.904827
184,0.770513
185,0.587785
186,0.368125
187,0.125333
188,-0.125333
189,-0.368125
190,-0.587785
191,-0.770513
192,-0.904827
193,-0.982287
194,-0.998027
195,-0.951057
196,-0.844328
197,-0.684547
198,-0.481754
199,-0.24869
200,5.14599e-15
201,0.24869
202,0.481754
203,0.684547
204,0.844328
205,0.951057
206,0.998027
207,0.982287
208,0.904827
209,0.770513
210,0.587785
211,0.368125
212,0.125333
213,-0.125333
214,-0.368125
215,-0.587785
216,-0.770513
217,-0.904827
218,-0.982287
219,-0.998027
220,-0.951057
221,-0.844328
222,-0.684547
223,-0.481754
224,-0.24869
225,4.90106e-15
226,0.24869
227,0.481754
228,0.684547
229,0.844328
230,0.951057
231,0.998027
232,0.982287
233,0.904827
234,0.770513
235,0.587785
236,0.368125
237,0.125333
238,-0.125333
239,-0.368125
240,-0.587785
241,-0.770513
242,-0.904827
243,-0.982287
244,-0.998027
245,-0.951057
246,-0.844328
247,-0.684547
248,-0.481754
249,-0.24869
250,4.65613e-15
251,0.24869
252,0.481754
253,0.684547
254,0.844328
255,0.951057
256,0.998027
257,0.982287
258,0.904827
259,0.770513
260,0.587785
261,0.368125
262,0.125333
263,-0.125333
264,-0.368125
265,-0.587785
266,-0.770513
267,-0.904827
268,-0.982287
269,-0.998027
270,-0.951057
271,-0.844328
272,-0.684547
273,-0.481754
274,-0.24869
275,4.4112e-15
276,0.24869
277,0.481754
278,0.684547
279,0.844328
280,0.951057
281,0.998027
282,0.982287
283,0.904827
284,0.770513
285,0.587785
286,0.368125
287,0.125333
288,-0.125333
289,-0.368125
290,-0.587785
291,-0.770513
292,-0.904827
293,-0.982287
294,-0.998027
295,-0.951057
296,-0.844328
297,-0.684547
298,-0.481754
299,-0.24869
300,-2.93915e-15
301,0.24869
302,0.481754
303,0.684547
304,0.844328
305,0.951057
306,0.998027
307,0.982287
308,0.904827
309,0.770513
310,0.587785
311,0.368125
312,0.125333
313,-0.125333
314,-0.368125
315,-0.587785
316,-0.770513
317,-0.904827
318,-0.982287
319,-0.998027
320,-0.951057
321,-0.844328
322,-0.684547
323,-0.481754
324,-0.24869
325,3.92135e-15
326,0.24869
327,0.481754
328,0.684547
329,0.844328
330,0.951057
331,0.998027
332,0.982287
333,0.904827
334,0.770513
335,0.587785
336,0.368125
337,0.125333
338,-0.125333
339,-0.368125
340,-0.587785
341,-0.770513
342,-0.904827
343,-0.982287
344,-0.998027
345,-0.951057
346,-0.844328
347,-0.684547
348,-0.481754
349,-0.24869
350,1.07818e-14
351,0.24869
352,0.481754
353,0.684547
354,0.844328
355,0.951057
356,0.998027
357,0.982287
358,0.904827
359,0.770513
360,0.587785
361,0.368125
362,0.125333
363,-0.125333
364,-0.368125
365,-0.587785
366,-0.770513
367,-0.904827
368,-0.982287
369,-0.998027
370,-0.951057
371,-0.844328
372,-0.684547
373,-0.481754
374,-0.24869
375,3.43149e-15
376,0.24869
377,0.481754
378,0.684547
379,0.844328
380,0.951057
381,0.998027
382,0.982287
383,0.904827
384,0.770513
385,0.587785
386,0.368125
387,0.125333
388,-0.125333
389,-0.368125
390,-0.587785
391,-0.770513
392,-0.904827
393,-0.982287
394,-0.998027
395,-0.951057
396,-0.844328
397,-0.684547
398,-0.481754
399,-0.24869
400,1.0292e-14
401,0.24869
402,0.481754
403,0.684547
404,0.844328
405,0.951057
406,0.998027
407,0.982287
408,0.904827
409,0.770513
410,0.587785
411,0.368125
412,0.125333
413,-0.125333
414,-0.368125
415,-0.587785
416,-0.770513
417,-0.904827
418,-0.982287
419,-0.998027
420,-0.951057
421,-0.844328
422,-0.684547
423,-0.481754
424,-0.24869
425,2.94163e-15
426,0.24869
427,0.481754
428,0.684547
429,0.844328
430,0.951057
431,0.998027
432,0.982287
433,0.904827
434,0.770513
435,0.587785
436,0.368125
437,0.125333
438,-0.125333
439,-0.368125
440,-0.587785
441,-0.770513
442,-0.904827
443,-0.982287
444,-0.998027
445,-0.951057
446,-0.844328
447,-0.684547
448,-0.481754
449,-0.24869
450,9.80213e-15
451,0.24869
452,0.481754
453,0.684547
454,0.844328
455,0.951057
456,0.998027
457,0.982287
458,0.904827
459,0.770513
460,0.587785
461,0.368125
462,0.125333
463,-0.125333
464,-0.368125
465,-0.587785
466,-0.770513
467,-0.904827
468,-0.982287
469,-0.998027
470,-0.951057
471,-0.844328
472,-0.684547
473,-0.481754
474,-0.24869
475,2.45177e-15
476,0.24869
477,0.481754
478,0.684547
479,0.844328
480,0.951057
481,0.998027
482,0.982287
483,0.904827
484,0.770513
485,0.587785
486,0.368125
487,0.125333
488,-0.125333
489,-0.368125
490,-0.587785
491,-0.770513
492,-0.904827
493,-0.982287
494,-0.998027
495,-0.951057
496,-0.844328
497,-0.684547
498,-0.481754
499,-0.24869
500,9.31227e-15
501,0.24869
502,0.481754
503,0.684547
504,0.844328
505,0.951057
506,0.998027
507,0.982287
508,0.904827
509,0.770513
510,0.587785
511,0.368125
512,0.125333
513,-0.125333
514,-0.368125
515,-0.587785
516,-0.770513
517,-0.904827
518,-0.982287
519,-0.998027
520,-0.951057
521,-0.844328
522,-0.684547
523,-0.481754
524,-0.24869
525,1.96191e-15
526,0.24869
527,0.481754
528,0.684547
529,0.844328
530,0.951057
531,0.998027
532,0.982287
533,0.904827
534,0.770513
535,0.587785
536,0.368125
537,0.125333
538,-0.125333
539,-0.368125
540,-0.587785
541,-0.770513
542,-0.904827
543,-0.982287
544,-0.998027
545,-0.951057
546,-0.844328
547,-0.684547
548,-0.481754
549,-0.24869
550,8.82241e-15
551,0.24869
552,0.481754
553,0.684547
554,0.844328
555,0.951057
556,0.998027
557,0.982287
558,0.904827
559,0.770513
560,0.587785
561,0.368125
562,0.125333
563,-0.125333
564,-0.368125
565,-0.587785
566,-0.770513
567,-0.904827
568,-0.982287
569,-0.998027
570,-0.951057
571,-0.844328
572,-0.684547
573,-0.481754
574,-0.24869
575,1.56829e-14
576,0.24869
577,0.481754
578,0.684547
579,0.844328
580,0.951057
581,0.998027
582,0.982287
583,0.904827
584,0.770513
585,0.587785
586,0.368125
587,0.125333
588,-0.125333
589,-0.368125
590,-0.587785
591,-0.770513
592,-0.904827
593,-0.982287
594,-0.998027
595,-0.951057
596,-0.844328
597,-0.684547
598,-0.481754
599,-0.24869
600,-5.8783e-15
601,0.24869
602,0.481754
603,0.684547
604,0.844328
605,0.951057
606,0.998027
607,0.982287
608,0.904827
609,0.770513
610,0.587785
611,0.368125
612,0.125333
613,-0.125333
614,-0.368125
615,-0.587785
616,-0.770513
617,-0.904827
618,-0.982287
619,-0.998027
620,-0.951057
621,-0.844328
622,-0.684547
623,-0.481754
624,-0.24869
625,9.82193e-16
626,0.24869
627,0.481754
628,0.684547
629,0.844328
630,0.951057
631,0.998027
632,0.982287
633,0.904827
634,0.770513
635,0.587785
636,0.368125
637,0.125333
638,-0.125333
639,-0.368125
640,-0.587785
641,-0.770513
642,-0.904827
643,-0.982287
644,-0.998027
645,-0.951057
646,-0.844328
647,-0.684547
648,-0.481754
649,-0.24869
650,7.84269e-15
651,0.24869
652,0.481754
653,0.684547
654,0.844328
655,0.951057
656,0.998027
657,0.982287
658,0.904827
659,0.770513
660,0.587785
661,0.368125
662,0.125333
663,-0.125333
664,-0.368125
665,-0.587785
666,-0.770513
667,-0.904827
668,-0.982287
669,-0.998027
670,-0.951057
671,-0.844328
672,-0.684547
673,-0.481754
674,-0.24869
675,1.47032e-14
676,0.24869
677,0.481754
678,0.684547
679,0.844328
680,0.951057
681,0.998027
682,0.982287
683,0.904827
684,0.770513
685,0.587785
686,0.368125
687,0.125333
688,-0.125333
689,-0.368125
690,-0.587785
691,-0.770513
692,-0.904827
693,-0.982287
694,-0.998027
695,-0.951057
696,-0.844328
697,-0.684547
698,-0.481754
699,-0.24869
700,2.15637e-14
701,0.24869
702,0.481754
703,0.684547
704,0.844328
705,0.951057
706,0.998027
707,0.982287
708,0.904827
709,0.770513
710,0.587785
711,0.368125
712,0.125333
713,-0.125333
714,-0.368125
715,-0.587785
716,-0.770513
717,-0.904827
718,-0.982287
719,-0.998027
720,-0.951057
721,-0.844328
722,-0.684547
723,-0.481754
724,-0.24869
725,2.47592e-18
726,0.24869
727,0.481754
728,0.684547
729,0.844328
730,0.951057
731,0.998027
732,0.982287
733,0.904827
734,0.770513
735,0.587785
736,0.368125
737,0.125333
738,-0.125333
739,-0.368125
740,-0.587785
741,-0.770513
742,-0.904827
743,-0.982287
744,-0.998027
745,-0.951057
746,-0.844328
747,-0.684547
748,-0.481754
749,-0.24869
750,6.86297e-15
751,0.24869
752,0.481754
753,0.684547
754,0.844328
755,0.951057
756,0.998027
757,0.982287
758,0.904827
759,0.770513
760,0.587785
761,0.368125
762,0.125333
763,-0.125333
764,-0.368125
765,-0.587785
766,-0.770513
767,-0.904827
768,-0.982287
769,-0.998027
770,-0.951057
771,-0.844328
772,-0.684547
773,-0.481754
774,-0.24869
775,1.37235e-14
776,0.24869
777,0.481754
778,0.684547
779,0.844328
780,0.951057
781,0.998027
782,0.982287
783,0.904827
784,0.770513
785,0.587785
786,0.368125
787,0.125333
788,-0.125333
789,-0.368125
790,-0.587785
791,-0.770513
792,-0.904827
793,-0.982287
794,-0.998027
795,-0.951057
796,-0.844328
797,-0.684547
798,-0.481754
799,-0.24869
800,2.0584e-14
801,0.24869
802,0.481754
803,0.684547
804,0.844328
805,0.951057
806,0.998027
807,0.982287
808,0.904827
809,0.770513
810,0.587785
811,0.368125
812,0.125333
813,-0.125333
814,-0.368125
815,-0.587785
816,-0.770513
817,-0.904827
818,-0.982287
819,-0.998027
820,-0.951057
821,-0.844328
822,-0.684547
823,-0.481754
824,-0.24869
825,-9.77242e-16
826,0.24869
827,0.481754
828,0.684547
829,0.844328
830,0.951057
831,0.998027
832,0.982287
833,0.904827
834,0.770513
835,0.587785
836,0.368125
837,0.125333
838,-0.125333
839,-0.368125
840,-0.587785
841,-0.770513
842,-0.904827
843,-0.982287
844,-0.998027
845,-0.951057
846,-0.844328
847,-0.684547
848,-0.481754
849,-0.24869
850,5.88326e-15
851,0.24869
852,0.481754
853,0.684547
854,0.844328
855,0.951057
856,0.998027
857,0.982287
858,0.904827
859,0.770513
860,0.587785
861,0.368125
862,0.125333
863,-0.125333
864,-0.368125
865,-0.587785
866,-0.770513
867,-0.904827
868,-0.982287
869,-0.998027
870,-0.951057
871,-0.844328
872,-0.684547
873,-0.481754
874,-0.24869
875,1.27438e-14
876,0.24869
877,0.481754
878,0.684547
879,0.844328
880,0.951057
881,0.998027
882,0.982287
883,0.904827
884,0.770513
885,0.587785
886,0.368125
887,0.125333
888,-0.125333
889,-0.368125
890,-0.587785
891,-0.770513
892,-0.904827
893,-0.982287
894,-0.998027
895,-0.951057
896,-0.844328
897,-0.684547
898,-0.481754
899,-0.24869
900,1.96043e-14
901,0.24869
902,0.481754
903,0.684547
904,0.844328
905,0.951057
906,0.998027
907,0.982287
908,0.904827
909,0.770513
910,0.587785
911,0.368125
912,0.125333
913,-0.125333
914,-0.368125
915,-0.587785
916,-0.770513
917,-0.904827
918,-0.982287
919,-0.998027
920,-0.951057
921,-0.844328
922,-0.684547
923,-0.481754
924,-0.24869
925,-1.95696e-15
926,0.24869
927,0.481754
928,0.684547
929,0.844328
930,0.951057
931,0.998027
932,0.982287
933,0.904827
934,0.770513
935,0.587785
936,0.368125
937,0.125333
938,-0.125333
939,-0.368125
940,-0.587785
941,-0.770513
942,-0.904827
943,-0.982287
944,-0.998027
945,-0.951057
